node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority,prev,next
are 737174 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.17649284430999998,-0.0,0.041643231732699994,0,0
are 782603 stf,0,6,0.125,0.0,0.0,1.81968546134e-12,0.17712434446800002,0.0,0,0
are 852331 stf,0,8,0.166666666667,0.0,0.0,1.7350240688599998e-10,0.354248688935,0.0,0,0
hc 101004 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.127521027536,-0.0,0.0,0,0
hc 104075 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.00218030748564,-0.0,0.0253034777811,0,0
hc 106158 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869093247,-0.0,0.0,0,0
hc 106991 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869094784,-0.0,0.0,0,0
hc 107769 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.00218030748753,-0.0,0.0253034777811,0,0
hc 110055 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.036586909245,-0.0,0.0,0,0
hc 110404 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0021803076585,-0.0,0.0253034777811,0,0
hc 116767 stf,0,1,0.020833333333299998,0.0,0.0,1.3193085513e-10,-0.0,0.0,1,0
hc 116767 stf,0,1,0.020833333333299998,0.0,0.0,1.3193085513e-10,-0.0,0.0,1,0
hc 118568 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869096067,-0.0,0.0,0,0
hc 119039 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.127521027502,-0.0,0.0,0,0
hc 120830 stf,0,2,0.0416666666667,0.0,0.0,5.146694702359999e-13,-2.1223373449800002e-17,0.0,0,0
hc 121603 stf,0,4,0.08333333333330001,0.0,0.0,1.0724839072399998e-10,-8.712775901260001e-17,0.0,0,0
hc 123437 stf,0,3,0.0625,0.0,0.0,9.238983189610001e-11,-1.29042010651e-17,0.0,0,0
hc 124315 stf,0,9,0.1875,0.0,0.0,3.12889228415e-11,-0.0,0.0,0,0
hc 261604 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.157435110931,-0.0,0.0,1,0
hc 261604 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.157435110931,-0.0,0.0,1,0
hc 263174 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.000609281777125,-0.0,0.0,0,0
hc 290183 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.12752102734999998,-0.0,0.0,0,0
hc 45599 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.11121315269200001,-0.0,0.0,0,0
mc 22885 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.111213152261,-0.0,0.0,0,0
re 590964 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.09190118173460002,-0.0,0.0253034777811,0,0
re 718807 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0919011817545,-0.0,0.0253034777811,0,0
rhc 115219 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.00218030739993,-0.0,0.0253034777811,0,0
rhc 116205 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0021803073458800002,-0.0,0.0253034777811,0,0
rhc 116944 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.036586909519199996,-0.0,0.0,0,0
sum. 21 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869095701,-0.0,0.0,0,0
sum. 21 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869095701,-0.0,0.0,0,0
sum. 21 stj,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0365869093187,-0.0,0.0,0,0
sum. 279 stf,4,0,0.08333333333330001,0.0,0.08333333333330001,0.47807787827299997,-0.0,0.14285714285700002,1,1
sum. 279 stf,4,0,0.08333333333330001,0.0,0.08333333333330001,0.47807787827299997,-0.0,0.14285714285700002,1,1
sum. 279 stf,4,0,0.08333333333330001,0.0,0.08333333333330001,0.47807787827299997,-0.0,0.14285714285700002,1,1
sum. 279 stf,4,0,0.08333333333330001,0.0,0.08333333333330001,0.47807787827299997,-0.0,0.14285714285700002,1,1
sum. 279 stf,4,0,0.08333333333330001,0.0,0.08333333333330001,0.47807787827299997,-0.0,0.14285714285700002,1,1
sum. 280 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0919011818351,-0.0,0.0253034777811,0,0
sum. 280 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.0919011818351,-0.0,0.0253034777811,0,0
sum. 282 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492844296,-0.0,0.041643231732699994,1,1
sum. 282 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492844296,-0.0,0.041643231732699994,1,1
sum. 282 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492844296,-0.0,0.041643231732699994,1,1
sum. 282 stf,1,0,0.020833333333299998,0.0,0.020833333333299998,0.176492844296,-0.0,0.041643231732699994,1,1
